,animal_id,train_set_dur,replicate_num,segmentation,avg_segment_error_rate
0,llb11,600,1,not-cleaned,0.9804341404110752
1,llb11,600,1,semi-automated-cleaning,0.5889108247260157
2,llb11,600,1,manually-cleaned,0.04950035890397637
3,llb11,600,2,not-cleaned,0.9684697257188108
4,llb11,600,2,semi-automated-cleaning,0.5796467522115385
5,llb11,600,2,manually-cleaned,0.04580632823556676
6,llb11,600,3,not-cleaned,0.9963069959591868
7,llb11,600,3,semi-automated-cleaning,0.6086585046678573
8,llb11,600,3,manually-cleaned,0.04475864433094283
9,llb11,600,4,not-cleaned,0.9969417659454343
10,llb11,600,4,semi-automated-cleaning,0.607615070013845
11,llb11,600,4,manually-cleaned,0.038112827104680363
12,llb11,600,5,not-cleaned,1.0049334862548003
13,llb11,600,5,semi-automated-cleaning,0.6121436597439172
14,llb11,600,5,manually-cleaned,0.038151558406242674
15,llb11,600,6,not-cleaned,0.999475685389811
16,llb11,600,6,semi-automated-cleaning,0.6081618175048629
17,llb11,600,6,manually-cleaned,0.03485605986806542
18,llb11,600,7,not-cleaned,0.9679204460293083
19,llb11,600,7,semi-automated-cleaning,0.5755112716872915
20,llb11,600,7,manually-cleaned,0.03141398902994526
21,llb11,420,1,not-cleaned,0.9909289160377827
22,llb11,420,1,semi-automated-cleaning,0.6065699150252605
23,llb11,420,1,manually-cleaned,0.06993653795614399
24,llb11,420,2,not-cleaned,0.9995623583470452
25,llb11,420,2,semi-automated-cleaning,0.6105163856050292
26,llb11,420,2,manually-cleaned,0.06648474324475452
27,llb11,420,3,not-cleaned,1.0067268739305548
28,llb11,420,3,semi-automated-cleaning,0.6149691329405046
29,llb11,420,3,manually-cleaned,0.040575306803598395
30,llb11,420,4,not-cleaned,0.9853333188995702
31,llb11,420,4,semi-automated-cleaning,0.5945933336726539
32,llb11,420,4,manually-cleaned,0.05784658368571825
33,llb11,420,5,not-cleaned,0.9959136259969451
34,llb11,420,5,semi-automated-cleaning,0.6054666113377873
35,llb11,420,5,manually-cleaned,0.05470779877153841
36,llb11,420,6,not-cleaned,0.9907157375510514
37,llb11,420,6,semi-automated-cleaning,0.6014668700266443
38,llb11,420,6,manually-cleaned,0.0508314993604296
39,llb11,420,7,not-cleaned,1.035308531487322
40,llb11,420,7,semi-automated-cleaning,0.6306739883971445
41,llb11,420,7,manually-cleaned,0.045667885249160343
42,llb11,240,1,not-cleaned,1.0300406281432772
43,llb11,240,1,semi-automated-cleaning,0.6243719690171081
44,llb11,240,1,manually-cleaned,0.04424430147424658
45,llb11,240,2,not-cleaned,1.084142094971809
46,llb11,240,2,semi-automated-cleaning,0.6926551546707741
47,llb11,240,2,manually-cleaned,0.05929280587628017
48,llb11,240,3,not-cleaned,1.0349599568823955
49,llb11,240,3,semi-automated-cleaning,0.6342982081673659
50,llb11,240,3,manually-cleaned,0.049939096931205594
51,llb11,240,4,not-cleaned,1.0319702263006627
52,llb11,240,4,semi-automated-cleaning,0.6395480513763736
53,llb11,240,4,manually-cleaned,0.06958260327014093
54,llb11,240,5,not-cleaned,0.9890973007920327
55,llb11,240,5,semi-automated-cleaning,0.60370100144145
56,llb11,240,5,manually-cleaned,0.09609517191795487
57,llb11,240,6,not-cleaned,1.011889556883619
58,llb11,240,6,semi-automated-cleaning,0.6265306602497465
59,llb11,240,6,manually-cleaned,0.05108237655015308
60,llb11,240,7,not-cleaned,1.0227059069254847
61,llb11,240,7,semi-automated-cleaning,0.6316527886270886
62,llb11,240,7,manually-cleaned,0.04811898685323717
63,llb11,190,1,not-cleaned,1.041828585223142
64,llb11,190,1,semi-automated-cleaning,0.6391417975092328
65,llb11,190,1,manually-cleaned,0.05581980860244552
66,llb11,190,2,not-cleaned,1.0962201948902468
67,llb11,190,2,semi-automated-cleaning,0.6934596824849921
68,llb11,190,2,manually-cleaned,0.06408773181508547
69,llb11,190,3,not-cleaned,1.0382290043384024
70,llb11,190,3,semi-automated-cleaning,0.6478241239138537
71,llb11,190,3,manually-cleaned,0.06948401831119302
72,llb11,190,4,not-cleaned,1.0148924782908442
73,llb11,190,4,semi-automated-cleaning,0.6270236513866013
74,llb11,190,4,manually-cleaned,0.06994158515782477
75,llb11,190,5,not-cleaned,1.073083877550196
76,llb11,190,5,semi-automated-cleaning,0.6694219743853873
77,llb11,190,5,manually-cleaned,0.0810499159559524
78,llb11,190,6,not-cleaned,1.0147461515384117
79,llb11,190,6,semi-automated-cleaning,0.6258360246072937
80,llb11,190,6,manually-cleaned,0.059971985904976814
81,llb11,190,7,not-cleaned,1.0017049115629673
82,llb11,190,7,semi-automated-cleaning,0.605956972971828
83,llb11,190,7,manually-cleaned,0.04284603103879267
84,llb11,540,1,not-cleaned,1.0139922228851272
85,llb11,540,1,semi-automated-cleaning,0.6198464722303353
86,llb11,540,1,manually-cleaned,0.03323050267250441
87,llb11,540,2,not-cleaned,0.9887147549345636
88,llb11,540,2,semi-automated-cleaning,0.6042091719927799
89,llb11,540,2,manually-cleaned,0.04937026170171495
90,llb11,540,3,not-cleaned,1.0187628418592676
91,llb11,540,3,semi-automated-cleaning,0.6220041652005905
92,llb11,540,3,manually-cleaned,0.036770058936018604
93,llb11,540,4,not-cleaned,0.9975676522655194
94,llb11,540,4,semi-automated-cleaning,0.609005853183711
95,llb11,540,4,manually-cleaned,0.03765032819202778
96,llb11,540,5,not-cleaned,1.0043147798283365
97,llb11,540,5,semi-automated-cleaning,0.6027760455212104
98,llb11,540,5,manually-cleaned,0.04387580138574962
99,llb11,540,6,not-cleaned,0.9945994781851244
100,llb11,540,6,semi-automated-cleaning,0.606919140388863
101,llb11,540,6,manually-cleaned,0.037875173116699225
102,llb11,540,7,not-cleaned,0.9778853700086927
103,llb11,540,7,semi-automated-cleaning,0.5874975482327813
